orderNo,contact,serviceList,partList,status,createdOn,vertical,totalAmount,subTotal,discount,approved,Final Status
7278,1,|Valet,,ORDER_COMPLETED, Jan,VALET,0,500,500,T,completed
7291,2,|Sensor Scanning/Error Resolution,,ORDER_COMPLETED, Jan,PREVENTIVE,0,500,500,T,completed
7349,3,|Valet|Subject To Dismantling,,CANCELLED, Jan,NON_PREVENTIVE,0,500,500,F,cancelled
7350,4,|Complete Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,1250,1250,T,completed
7351,4,|Complete Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,1250,1250,T,completed
7352,5,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,1500,500,T,completed
7353,6,|Parts Delivery,|Kabuli Used Genuine - Front Door Assy vitz -2011-2016|Kabuli Used Genuine - Rear Door LH Vitz 2011-2016|Kabuli Used Genuine - Rear Door Hinges Vitz  2011-2016,CANCELLED, Jan,PARTS_LOGISTICS,34100,34100,0,F,cancelled
7354,7,|Electrical Diagnosis,,CANCELLED, Jan,DIAGNOSIS,0,0,0,T,cancelled
7355,8,|Sensor Replacement,|Kabuli Used Genuine - Oxygen Sensor Mira,CANCELLED, Jan,NON_PREVENTIVE,5121,5121,0,F,cancelled
7356,9,|Wiper Motor Replacement|Belt Replacement|Labour,|Bando Japan - Fan Belt Cultus EFi  2008-2017|Bando Japan - Belt - Ac Belt Cultus EFI |Kabuli Used Genuine - Wiper Motor Cultus EFI,CANCELLED, Jan,NON_PREVENTIVE,5935,5935,0,F,cancelled
7357,10,|Labour,|Unbranded China - Bonnet Cable Mehran|Unbranded China - Bonnet Opener Mehran,CANCELLED, Jan,NON_PREVENTIVE,1645,1645,0,T,cancelled
7358,11,|Mechanical Diagnosis|Electrical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,500,500,T,completed
7359,12,|Bumper Repair,,CANCELLED, Jan,NON_PREVENTIVE,2500,2500,0,F,cancelled
7360,13,|Mechanical Diagnosis|Scanning And Error Resolution,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,750,750,T,completed
7361,6,|Parts Delivery,|Kabuli Used Genuine - Fog Lamp Corolla 10th Gen,CANCELLED, Jan,PARTS_LOGISTICS,1980,1980,0,F,cancelled
7362,14,|Rework,,ORDER_COMPLETED, Jan,REWORK,0,1,1,T,completed
7363,14,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,750,1200,450,T,completed
7364,15,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,250,250,0,T,completed
7365,16,|Basic Car Wash,,ORDER_COMPLETED, Jan,CAR_SPA,0,500,500,T,completed
7366,17,|Maintece & Tuning|Brake Master Cylinder Replacement|Suspension Overhaul|Brake Replacement - 2 Tyre |Disc Turning|Brake Service - 2 Tyre|Brake Oil Top Up|SpeedoMeter Service,|Mk -Front Brake Pad city 09-21|Leppon - Air Filter City 2009-2021|Ngk - Spark Plug Iridium City 2009-2021,CANCELLED, Jan,NON_PREVENTIVE,58260,58260,0,F,cancelled
7367,18,|Sensor Replacement|Battery Replacement,|Kabuli Used Genuine - Crank Sensor Swift|Daewoo - Dry Battery DLS 65A,CANCELLED, Jan,NON_PREVENTIVE,14000,14020,20,F,cancelled
7368,19,|Clutch Fly Wheel Facing|Clutch Plate/Pressure Plate/Bearing Replacement |Engine Head Repair,|Valeo - Clutch & Pressure Plate - Cuore|NTN / KOYO Bearing - Clutch Release Bearing Cuore,CANCEL_ON_QUOTATION, Jan,NON_PREVENTIVE,16000,16215,215,F,cancelled
7369,17,|Disc Turning|Brake Service - 4 Tyre|Steering Repair (Dismantle & Repair),,CANCELLED, Jan,NON_PREVENTIVE,6300,6300,0,F,cancelled
7370,20,|Windscreen Replacement,|XYG  - Front Wind Screen Swift 2008-2021,CANCELLED, Jan,NON_PREVENTIVE,11950,11950,0,F,cancelled
7371,21,|Mechanical Diagnosis|Sensor Scanning/Error Resolution|Electrical Diagnosis,,CANCELLED, Jan,DIAGNOSIS,0,1000,1000,T,cancelled
7372,22,|Parts Delivery,|Kabuli Used Genuine - Water coolant sensor  E46,ORDER_COMPLETED, Jan,PARTS_LOGISTICS,2750,2950,200,T,completed
7373,23,|Electrical Diagnosis|Scanning And Error Resolution,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,750,750,T,completed
7374,17,|Engine Replacement/Swap,|Kabuli Used Genuine - Engine Assembly,CANCELLED, Jan,NON_PREVENTIVE,92000,92000,0,F,cancelled
7375,24,|Maintece & Tuning|Catalytic Cleaning|Sensor Scanning/Error Resolution|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,1750,3150,1400,T,completed
7376,6,|Parts Delivery,|FPI Thailand - Front Bumper With Clips Corolla 10th Gen|FPI Thailand - Rear Bumper With Clips Corolla 10th Gen,CANCELLED, Jan,PARTS_LOGISTICS,11220,11220,0,F,cancelled
7378,25,|Water Body Replacement,|Ravi - Water Pump  Cultus 2000-2007,CANCELLED, Jan,NON_PREVENTIVE,4000,4365,365,T,cancelled
7379,26,|Fuel Injector Service,,CANCELLED, Jan,NON_PREVENTIVE,1000,1000,0,F,cancelled
7380,27,|Brake Service - 4 Tyre|Transmission Oil Change,|Honda Genuine - Gear Oil CVTF 1Liter ,CANCELLED, Jan,PREVENTIVE,9600,9600,0,F,cancelled
7381,28,|Clutch Plate/Pressure Plate/Bearing Replacement |Clutch Fly Wheel Facing,|TSK - Cables & Wires - Clutch Cable Mehran |Dk Japan - Clutch & Pressure Plate Set Mehran |NTN / KOYO Bearing - Clutch Release Bearing Mehran Old ,CANCELLED, Jan,NON_PREVENTIVE,16469,16469,0,F,cancelled
7382,29,|Rework|Engine Head Repair|Fuel Refill,|Ct Taiwan - Gasket - Head Gasket|Ct Taiwan - Gasket - Exhaust Manifold Gasket Every |Caltex - Oil & Addtives - Engine Oil 20W-50 Unpackaged 1Liter |Max - Filters - Oil Filter Every 2004-2012|Kabuli Used Genuine - Bolt With Nut Every ,ORDER_COMPLETED, Jan,NON_PREVENTIVE,2500,4970,2470,T,completed
7383,30,|Electrical Diagnosis,,CANCELLED, Jan,DIAGNOSIS,250,250,0,F,cancelled
7384,31,|Basic Car Wash,,ORDER_COMPLETED, Jan,CAR_SPA,0,500,500,T,completed
7385,16,|Maintece & Tuning|Disc Turning|AC Gas Top Up|Brake Service - 4 Tyre|Drum Facing,|Guard - Filters - Air Filter Charade |Unbranded China - Plug Wire Set Charade |Unbranded China - Taillight bulb |Unbranded China - Taillight Bulb Holder Double Point |Unbranded China - Front Bumper Light Bulb Charade|Unbranded China - Front Bumper Light Bulb Holder Charade|Unbranded Japan - Headlight Bulb Charade|Unbranded China - Headlight Bulb Grip Charade|Denso-Spark Plug,ORDER_COMPLETED, Jan,PREVENTIVE,10500,10517,17,T,completed
7386,15,|Brake Replacement - 4 Tyre|Disc Turning|Maintece & Tuning|Radiator Flushing|Cable Replacement,|Unbranded China - Wiper Blade Cultus 2000-2017|Osaka Green - Coolant & Anti-Freeze|Mk - Front Brake Pad Cultus 2000-17|Mk - Rear Brake Shoe cultus 2000-17|Unbranded China - Handbrake Cable Cultus 2008-2017,CANCELLED, Jan,NON_PREVENTIVE,12124,12124,0,F,cancelled
7387,32,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,750,1200,450,T,completed
7388,28,|Clutch Plate/Pressure Plate/Bearing Replacement |Clutch Fly Wheel Facing,,CANCELLED, Jan,NON_PREVENTIVE,5000,5000,0,F,cancelled
7389,33,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,250,250,T,completed
7390,27,|Foundation Replacement|Transmission Oil Change|Sensor Replacement|Timing Tensioner Replacement,|Zic - Gear Oil ATF 1 Liter|Unbranded Thailand - Gear Foundation Reborn|Kabuli Used Genuine - Tensioner With Shocker Reborn |Kabuli Used Genuine - Mass Air Flow Sensor Reborn|NOK Japan - Seals - Gear Shifter Seal Reborn,CANCEL_ON_QUOTATION, Jan,NON_PREVENTIVE,25139,25139,0,F,cancelled
7391,28,|Brake Replacement - 4 Tyre|Disc Turning|Drum Facing|Engine Shield Installation|AC Diagnosis|Electric Work,|Malaysia - Front Bumper With Clips Corolla 2008-2014|TYC Taiwan - Body Parts - Headlight Corolla 2008-2012|Unbranded China - Fender Shield LH Corolla 2008-2014|Unbranded China - Fender Shield RH Corolla 2008-2014|Unbranded China - Engine Shield Set With Clips Corolla 2008-2014|FPI Thailand - Rear Bumper With Clips Corolla 10th Gen|Kabuli Used Genuine - Rear Brake Disc Corolla 2008-2014,CANCEL_ON_QUOTATION, Jan,DIAGNOSIS,42569,42569,0,F,cancelled
7392,34,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,250,250,T,completed
7393,6,|Parts Delivery,|Unbranded Local -Front Bumper + Clips Cultus 2008-17|Unbranded Local - Rear Bumper With Clips|Unbranded China - Cultus EFI Taillight RH|Unbranded Local - Front Windscreen Cultus Old (tempered)|Unbranded China - Silicon,CANCELLED, Jan,PARTS_LOGISTICS,11165,11165,0,F,cancelled
7394,6,|Parts Delivery,,CANCELLED, Jan,PARTS_LOGISTICS,0,0,0,F,cancelled
7395,6,|Parts Delivery,|Unbranded China - Fog Lamp Cover City 2015-2020| Unbranded Taiwan -Front Bumper City 2009-2021|DEPO Taiwan - Headlight CIty 2018-2020,CANCELLED, Jan,PARTS_LOGISTICS,23815,23815,0,F,cancelled
7396,35,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,500,1200,700,T,completed
7397,36,|Catalytic Cleaning|Maintece & Tuning|Sensor Scanning/Error Resolution|Brake Replacement - 4 Tyre|Disc Turning,|Mk - Front Brake Pad corolla 2008-2021|Mk - Rear Brake Pad corolla rear brake pad 08-20 prius 16-19 Hybrid,CANCELLED, Jan,NON_PREVENTIVE,9740,11740,2000,F,cancelled
7398,4,|Complete Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,1250,1250,T,completed
7399,37,|Maintece & Tuning|Brake Service - 4 Tyre|Basic Car Wash,,CANCELLED, Jan,PREVENTIVE,3200,3200,0,F,cancelled
7400,38,|Axle Seal Replacement|Catalytic Convertor Replacement,|NOK Japan - Seals - Axle Seal Corolla 2014-2017|Kabuli Used Genuine - Catalytic Converter (Dual System),CANCELLED, Jan,NON_PREVENTIVE,64990,64990,0,F,cancelled
7401,4,|Battery Replacement,|Daewoo - Dry Battery DLS 65A,ORDER_COMPLETED, Jan,NON_PREVENTIVE,7800,8800,1000,T,completed
7402,14,|Basic Maintece,|Ngk Plugs - Spark Plug Iridium Alto Japanese 2014-2021,CANCELLED, Jan,PREVENTIVE,3400,3435,35,F,cancelled
7403,4,|Maintece & Tuning|Brake Replacement - 2 Tyre |Disc Turning|Brake Service - 2 Tyre,|Honda Genuine-Oil Filter Honda|Leppon - Air Filter Civic Triborn 2013-2017|Honda Genuine - Engine Oil 10W-30 4 liter|Mk - Front Brake Pad Civic Rebirth 2013-2017,CANCELLED, Jan,NON_PREVENTIVE,12568,12568,0,F,cancelled
7404,39,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,250,250,T,completed
7405,40,|Electrical Diagnosis|Mechanical Diagnosis,,CANCELLED, Jan,DIAGNOSIS,0,500,500,T,cancelled
7406,41,|Rework,,ORDER_COMPLETED, Jan,REWORK,0,1,1,T,completed
7407,42,|Denting Repair|Paint Job (non Bhatti)|Complete Engine Overhaul,,CANCELLED, Jan,NON_PREVENTIVE,130000,130000,0,F,cancelled
7408,43,|Catalytic Cleaning|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,2400,1400,T,completed
7409,44,|Mechanical Diagnosis|Scanning And Error Resolution,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,750,750,T,completed
7410,45,|Complete Diagnosis,,CANCELLED, Jan,DIAGNOSIS,1000,1250,250,F,cancelled
7411,46,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,250,250,T,completed
7412,34,|Carburetor Service/Rebuild|Maintece & Tuning|Clutch Pressure Plate Replacement|Clutch Fly Wheel Facing,|Valeo - Clutch & Pressure Plate - Cuore|NTN / KOYO Bearing - Clutch Release Bearing Cuore|Warco - Manual Gear Oil ,CANCELLED, Jan,NON_PREVENTIVE,17700,17735,35,F,cancelled
7413,23,|Complete Axle Repair |Maintece & Tuning|Complete Engine Care|Brake Service - 4 Tyre|Basic Car Wash,|Leppon - Filters - Oil Filter Cervo |Suzuki Genuine New Models- Engine Oil Ultimate 3Liter 10W-40|Brother Star - Filters - Air Filter Cervo ,CANCELLED, Jan,PREVENTIVE,12500,12990,490,T,cancelled
7414,47,|Electric Work,,CANCELLED, Jan,NON_PREVENTIVE,1500,1500,0,F,cancelled
7415,48,|Scanning And Error Resolution,,CANCELLED, Jan,PREVENTIVE,500,500,0,T,cancelled
7416,2,|Wheel Balancing,,ORDER_COMPLETED, Jan,NON_PREVENTIVE,800,800,0,T,completed
7417,25,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,250,250,T,completed
7418,49,|Parts Delivery,|AMSOIL - Engine Oil 0W20 Signature|AMSOIL - Engine Oil 5W30 Signature (Gallon)|AMSOIL - Engine Oil 5W40 Red|AMSOIL - Engine Oil 5W40 Black|AMSOIL - Engine Oil 10W40 |AMSOIL - CVT|AMSOIL - ATF Multi-Vehicle|AMSOIL - ATF FE|AMSOIL - GL5- 75W90|AMSOIL - GL4- 75W90|AMSOIL - Dominator 15W50,ORDER_COMPLETED, Jan,PARTS_LOGISTICS,741150,915000,173850,T,completed
7419,39,|Brake Service - 4 Tyre|Complete Engine Care|Foundation Replacement|Control Arm (Qainchi) Disassembly|Silencer (Dholki) Repair|Subject To Dismantling,|Leppon - Air Filter Vtz 2005-2011|Toyota Genuine - Spark Plug Iridium Vitz 2005-2001|Unbranded Thailand - Engine Foundation Vitz 2005-2011,CANCELLED, Jan,NON_PREVENTIVE,28320,28320,0,F,cancelled
7420,46,|Maintece & Tuning|Tappet Adjustment|Transmission Oil Change|Brake Service - 4 Tyre,|Guard - Oil Filter Suzuki|Guard - Air Filter Mehran EFI 2013-2019|Suzuki Genuine New Models- Engine Oil Ultimate 3Liter 10W-40|Ct Taiwan - Tappet Cover Packing Mehran 2013-2019,CANCELLED, Jan,PREVENTIVE,7900,7932,32,F,cancelled
7421,50,|Axle Outer Replace |Suspension Pressing/Repair|Bearing Replacement|Fuel Filter Service|Steering Repair (Dismantle & Repair),|Unbranded China - Axle Joint Outer 2PC Set Alto VXR|Unbranded China - Fuel Filter Alto VXR ,CANCELLED, Jan,NON_PREVENTIVE,14395,14395,0,F,cancelled
7422,51,|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,4000,3000,T,completed
7423,52,|Inspection - Legal Check|Mechanical Diagnosis|Body & Paint Inspection|Complete Diagnosis,,CANCELLED, Jan,DIAGNOSIS,2750,2750,0,T,cancelled
7424,4,|Maintece & Tuning|Oil Chamber Repair|Timing Bearing Replacement|Power Window Motor Replacement|Steering Repair (Dismantle & Repair)|Self Repair,|Leppon - Air Filter City 1998-2003|Shell - Engine Oil Shell 4 Liter 20W-50|Honda Genuine-Oil Filter Honda|Ct Taiwan - Gasket - Oil Chamber Seal City 1998-2003|Ct Taiwan - Gasket - Tappet Cover Packing City 1998-2003|Bando Japan - Belt - Timing Belt City 1998-2003|NTN / KOYO Bearing - Timing Bearing City 1998-2003|Kabuli Used Genuine - Power Steering Pump City 1998-2003,CANCELLED, Jan,NON_PREVENTIVE,34587,34587,0,F,cancelled
7425,53,|Basic Car Wash,,ORDER_COMPLETED, Jan,CAR_SPA,500,800,300,T,completed
7426,54,|Maintece & Tuning|Catalytic Cleaning,,CANCELLED, Jan,PREVENTIVE,1000,3000,2000,T,cancelled
7427,55,|Steering Repair (Dismantle & Repair),,CANCELLED, Jan,NON_PREVENTIVE,4500,4500,0,F,cancelled
7428,56,|Mechanical Diagnosis|Basic Car Wash,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,1050,1050,T,completed
7429,25,|Radiator Service|Gasket Replacement|Head Facing|Foundation Replacement|Gear Oil Change|Maintece & Tuning|Water Body Replacement,|Unbranded Japan - Radiator Cap Cultus 2000-2007|Ct Taiwan - Head Gaskit Cultus 2000-2007|Unbranded China - Engine Foundation Cultus Old|Unbranded China - Gear Foundation Cultus Old|Guard - Oil Filter Suzuki|Guard - Air Filter Cultus 2000-07|Suzuki Genuine Old Models - Engine Oil Premium 3 liter 10W-40|Warco - Manual Gear Oil |Ravi - Water Pump  Cultus 2000-2007,CANCELLED, Jan,NON_PREVENTIVE,18500,19055,555,T,cancelled
7430,57,|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,3000,2000,T,completed
7431,58,|Maintece & Tuning|Catalytic Cleaning,"|Leppon - Oil Filter|Leppon - Air Filter  Corolla 08-20, Axio 06-12, IST 07-21, Premio 07-21, Axio 12-21 Hybrid, Yaris 20-21|Toyota Genuine - Engine Oil Petron Plus 4 liter 10w-30",ORDER_COMPLETED, Jan,PREVENTIVE,5800,7813,2013,T,completed
7432,59,|Brake Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,250,250,T,completed
7433,11,|Headlight Installation|Door Pins Dismantling/Reassembly|Maintece & Tuning|Cable Replacement|Labour,|Unbranded China - Headlight White Shade Mehran |TSK - Cables & Wires - Speed O Meter Cable Mehran Old ,CANCELLED, Jan,NON_PREVENTIVE,11065,11065,0,F,cancelled
7434,60,|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,2200,1200,T,completed
7435,61,|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,2400,1400,T,completed
7436,13,|Brake Replacement - 4 Tyre|Disc Turning|Drum Facing,|Toyota Genuine - Front Brake Pad Passo 2010-2015|Toyota Genuine - Rear Brake Shoe Passo 2010-2015,CANCELLED, Jan,NON_PREVENTIVE,18940,18940,0,F,cancelled
7437,62,|Brake Service - 4 Tyre|Disc Turning,|Mk - Front Brake Pad corolla 2008-2021|Mk - Rear Brake Pad corolla rear brake pad 08-20 prius 16-19 Hybrid,CANCELLED, Jan,PREVENTIVE,8940,8940,0,F,cancelled
7438,51,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,750,1500,750,T,completed
7439,63,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,750,1200,450,T,completed
7440,63,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,750,1200,450,T,completed
7441,63,|Labour|Panel Installation/Fitting,|Unbranded China - Android Panel 9 Inch With Frame Wagon R Pakistani 2014-2019,CANCELLED, Jan,NON_PREVENTIVE,21700,21700,0,F,cancelled
7442,64,|Labour,,ORDER_COMPLETED, Jan,NON_PREVENTIVE,300,300,0,T,completed
7443,65,|Maintece & Tuning|Catalytic Cleaning,|Leppon - Oil Filter  Swift pakistani 2008-2021|Guard - Oil Filter Suzuki,CANCELLED, Jan,PREVENTIVE,1707,3107,1400,F,cancelled
7444,33,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,0,250,250,T,completed
7445,66,|Mechanical Diagnosis,,CANCELLED, Jan,DIAGNOSIS,250,250,0,T,cancelled
7446,33,|Silencer (Dholki) Repair|Maintece & Tuning|Steering Repair (Dismantle & Repair),|Unbranded China - Center Bush Hiroof|Guard - Oil Filter Suzuki|Suzuki Genuine Old Models - Engine Oil Premium 3 liter 10W-40|Ngk-Spark Plug ,CANCELLED, Jan,PREVENTIVE,13064,13064,0,F,cancelled
7447,33,|Door Pins Dismantling/Reassembly|Self Repair,|Unbranded Local - Door Handle,CANCEL_ON_QUOTATION, Jan,NON_PREVENTIVE,5650,5650,0,F,cancelled
7448,67,|Rework,,ORDER_COMPLETED, Jan,REWORK,0,1,1,T,completed
7449,56,|Maintece & Tuning|Catalytic Cleaning|Brake Replacement - 4 Tyre|Disc Turning|Drum Facing|Intercleaning,|Leppon - Oil Filter |Aisin - Engine Oil 4 liter 0W-20|Leppon - Air Filter Aqua|Mk - Front Brake Pad Aqua|Mk - Rear Brake Shoe Aqua,CANCEL_ON_QUOTATION, Jan,NON_PREVENTIVE,20564,22564,2000,F,cancelled
7450,68,|Rework,,CANCELLED, Jan,REWORK,0,1,1,T,cancelled
7451,69,|Sensor Replacement,|Kabuli Used Genuine - Oxygen Sensor  X-PV,CANCELLED, Jan,NON_PREVENTIVE,3750,3750,0,F,cancelled
7452,70,|Clutch Plate/Pressure Plate/Bearing Replacement |Foundation Replacement|Gear Lever Bush Replacement|Gasket Replacement,|Unbranded China - Engine Foundation Mehran (98-19)|Dk Japan - Clutch & Pressure Plate Set Mehran |NTN / KOYO Bearing - Clutch Release Bearing Mehran Old |Suzuki Genuine - Gear Lever Kit Mehran (98-19)|Ct Taiwan - Cylinder Head Gasket Mehran 1988-2010,CANCELLED, Jan,NON_PREVENTIVE,20427,20427,0,F,cancelled
7453,56,|Maintece & Tuning|Catalytic Cleaning|Brake Replacement - 4 Tyre|Disc Turning|Steering Repair (Dismantle & Repair)|Wheel Alignment|Intercleaning,|Leppon - Air Filter Aqua|Mk - Front Brake Pad Aqua|Mk - Rear Brake Shoe Aqua,CANCELLED, Jan,NON_PREVENTIVE,20000,20574,574,F,cancelled
7454,71,|Electrical Diagnosis,|Unbranded China - Relay Head Light grip ,ORDER_COMPLETED, Jan,DIAGNOSIS,650,650,0,T,completed
7455,6,|Parts Delivery,|Unbranded China - Rear Bumper Pad With 2PC Corner Vigo Champ,ORDER_COMPLETED, Jan,PARTS_LOGISTICS,3300,3300,0,T,completed
7456,72,|Maintece & Tuning|Labour,,CANCELLED, Jan,PREVENTIVE,2000,2000,0,F,cancelled
7457,6,|Parts Delivery,,CANCELLED, Jan,PARTS_LOGISTICS,0,0,0,F,cancelled
7458,73,|Maintece & Tuning,|Leppon - Oil Filter  Swift pakistani 2008-2021|Suzuki Genuine Old Models - Engine Oil Premium 4 liter 10w-40,CANCELLED, Jan,PREVENTIVE,5423,5423,0,F,cancelled
7459,74,|Parts Delivery,|Unbranded Thailand - Front Bumper With Clips Vitz 2011-2016|Unbranded China - Fog Lamp Cover VItz 2011-2016|Kabuli Used Genuine - Headlight LH Vitz 2011-16|Unbranded China - Fender Shield  Vitz 2011-16|Unbranded China - Front Bumper Spacer VItz 2011-2016,CANCELLED, Jan,PARTS_LOGISTICS,30690,30690,0,F,cancelled
7460,6,|Parts Delivery,,CANCELLED, Jan,PARTS_LOGISTICS,0,0,0,F,cancelled
7461,75,|Basic Maintece|Mechanical Diagnosis,|Honda Genuine-Oil Filter Honda|Honda Genuine - Engine Oil 10W-30 4 liter|Leppon - Air Filter Civic Triborn 2013-2017|Leppon-Cabin Filter Civic Triborn 2013-2017,ORDER_COMPLETED, Jan,DIAGNOSIS,6000,6345,345,T,completed
7462,76,|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,3000,2000,T,completed
7463,6,|Parts Delivery,|Unbranded Local - Parking Light R/s old cultus,ORDER_COMPLETED, Jan,PARTS_LOGISTICS,440,440,0,T,completed
7464,77,|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,3000,2000,T,completed
7465,6,|Parts Delivery,|Unbranded China - Rear Bumper with Clips Corolla 2014-21|Unbranded China - Rear Bumper Reflector Corolla 2014-2020|TYC Taiwan - Body Parts - Taillight Corolla 2017-2021|TYC Taiwan - Body Parts - Trunk Light R/S Corolla 11th Gen|Toyota Genuine -  Rear Fender Air Duck Corolla 2017-2021,CANCELLED, Jan,PARTS_LOGISTICS,33440,33440,0,F,cancelled
7466,78,|Maintece & Tuning,,ORDER_COMPLETED, Jan,PREVENTIVE,750,1200,450,T,completed
7467,79,|Front Bumper Paint|Rear Bumper Paint,|Unbranded China - Front Bumper + Clips Mehran 2013-19 |Unbranded Local - Bumper Rear + Clips Mehran,ORDER_COMPLETED, Jan,CAR_SPA,6000,6015,15,T,completed
7468,80,|Catalytic Cleaning|Maintece & Tuning|Long Distance Surcharge,|Leppon - Oil Filter|Leppon - Air Filter Corolla 08-2020|Toyota Genuine - Engine Oil Petron Plus 4 liter 10w-30,CANCELLED, Jan,PREVENTIVE,6340,8340,2000,F,cancelled
7469,81,|Maintece & Tuning,|Guard - Air Filter Cultus 2000-07,CANCELLED, Jan,PREVENTIVE,1400,1608,208,F,cancelled
7470,82,|Labour,|Unbranded China - Dash Board Mat Alto Pakistani 2019-2021|BITURBO  - Wheel Cap 4PC Set 13 Inch Alto Pakistani 2019-2021|Unbranded China - Mud Flap 4PC Set Alto Pakistani 2019-2021|Unbranded China - Door Curtain 4PC Set Alto Pakistani 2019-2021|Unbranded China - Trunk Curtain Alto Pakistani 2019-2021,ORDER_COMPLETED, Jan,NON_PREVENTIVE,2950,3290,340,T,completed
7471,83,|Electric Work,|Kabuli Used Genuine - Wiring Grip,CANCELLED, Jan,NON_PREVENTIVE,3750,3750,0,F,cancelled
7472,49,|Parts Delivery,|AMSOIL - Engine Oil 0W20 Signature|AMSOIL - Engine Oil 10W40 |AMSOIL - ATF Multi-Vehicle|AMSOIL - ATF FE|AMSOIL - GL5- 75W90|AMSOIL - GL4- 75W90|AMSOIL - Engine Oil 5W30 Signature ,ORDER_COMPLETED, Jan,PARTS_LOGISTICS,243000,300000,57000,T,completed
7473,84,|Maintece & Tuning|Catalytic Cleaning,,CANCELLED, Jan,PREVENTIVE,1000,3000,2000,T,cancelled
7474,85,|Rework|Scanning And Error Resolution,|Unbranded China - Current Coil Premio 2007,ORDER_COMPLETED, Jan,PREVENTIVE,0,3001,3001,T,completed
7475,86,|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,2400,1400,T,completed
7476,59,|Brake Replacement - 4 Tyre|Disc Turning,|Mk - Front Brake Pad corolla 2008-2021|Mk - Rear Brake Pad corolla rear brake pad 08-20 prius 16-19 Hybrid,ORDER_COMPLETED, Jan,NON_PREVENTIVE,10000,10000,0,T,completed
7477,6,|Parts Delivery,|Unbranded Local - Trunk Sticker AT- City 2009-2021|Unbranded Local - Clip Bumper|TYC Taiwan - Body Parts - Taillight City 2009-2014,CANCELLED, Jan,PARTS_LOGISTICS,6545,6545,0,F,cancelled
7478,87,|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,250,250,0,T,completed
7479,88,|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,2400,1400,T,completed
7480,89,|Side Mirror Replacement,|Unbranded China - Side Mirror Cover RH Wagon R Pk,CANCELLED, Jan,NON_PREVENTIVE,2900,2900,0,F,cancelled
7481,90,|Electrical Diagnosis|Mechanical Diagnosis,,ORDER_COMPLETED, Jan,DIAGNOSIS,500,500,0,T,completed
7482,6,|Parts Delivery,|Kabuli Used Genuine - Taillight L/S Vitz-2005-2011,ORDER_COMPLETED, Jan,PARTS_LOGISTICS,6600,6600,0,T,completed
7483,71,|SpeedoMeter Service|Speedo Meter Dismantling & Replacement,,CANCEL_ON_QUOTATION, Jan,NON_PREVENTIVE,3000,3000,0,F,cancelled
7484,91,|Maintece & Tuning|Sensor Scanning/Error Resolution,,ORDER_COMPLETED, Jan,PREVENTIVE,1000,1700,700,T,completed
7485,6,|Parts Delivery,,CANCELLED, Jan,PARTS_LOGISTICS,0,0,0,F,cancelled
