orderNo,contact,serviceList,partList,status,createdOn,vertical,totalAmount,subTotal,discount,approved,Final Status
10824,1525,|Suspension Overhaul|Bumper Repair|Full Body Compound Treatment|Basic Maintece,|Toyota Genuine - Engine Oil Petron Plus 3 liter10W-30|Leppon - Oil Filter|Leppon - Filters - Air Filter Moco |Mk - Brake Parts - Front Brake Pad Moco |MK Japan- Rear Brake Shoe Moco ,CANCELLED, Feb,PREVENTIVE,40820,41712,892,F,cancelled
10825,6,|Parts Delivery,|Kabuli Used Genuine - Bonnet Aqua 2012-20|Unbranded China - Fog Lamp Set Complete Aqua |Kabuli Used Genuine - Side Mirrors RH Aqua 2012-20,CANCELLED, Feb,PARTS_LOGISTICS,63250,63250,0,F,cancelled
10826,1572,|Anti Rust Treatment (Under Carriage),,CANCELLED, Feb,CAR_SPA,6000,6000,0,F,cancelled
10827,1573,|Brake Service - 4 Tyre|Maintece & Tuning|Catalytic Cleaning,,ORDER_COMPLETED, Feb,PREVENTIVE,1950,3900,1950,T,completed
10828,889,|Tappet Cover Packing |Seal Replacement,|Ct Taiwan - Gasket - Tappet Cover Packing Sunny 2005|Ct Taiwan - Gasket - Plug Seal 4PC Set Sunny 2005|Unbranded China - Pipe Stopper Sunny 2005|Unbranded China - Jubilee Clamp Hose ,ORDER_COMPLETED, Feb,NON_PREVENTIVE,2000,2010,10,T,completed
10829,1408,|Rework,,ORDER_COMPLETED, Feb,REWORK,0,1,1,T,completed
10830,1574,|Brake Service - 4 Tyre,,CANCELLED, Feb,PREVENTIVE,950,1500,550,T,cancelled
10831,688,|Maintece & Tuning|Catalytic Cleaning|Brake Service - 4 Tyre,,ORDER_COMPLETED, Feb,PREVENTIVE,1950,4500,2550,T,completed
10832,1575,|Premium Car Wash,,ORDER_COMPLETED, Feb,CAR_SPA,1000,1000,0,T,completed
10833,363,|Complete Engine Overhaul|Head Facing|Lathe Work|Atomizer Service|Fuel Refill,|ART - Engine Parts - Piston 4PC Set Corolla 2002-2008 2.OD|TAIHO - Engine Parts - Main Begin Corolla 2002-2008 2.OD|SAMBA - Inlet/Exhaust Valve Set Corolla 2002-2008 2.OD|TAIHO - Engine Parts - Connecting Rod Bush Set  Corolla 2002-2008 2.OD|TAIHO - Engine Parts - Thrust Washer Set  Corolla 2002-2008 2.OD|TP- Engine Parts - Piston Ring Set  Corolla 2002-2008 2.OD|Bossil - Silicone |Leppon - Filters - Oil Filter  Corolla 2002-2008 2.OD|Nachi - Bearing - Clutch Release Bearing  Corolla 2002-2008 2.OD|Bando Japan - Belt - Timing Belt  Corolla 2002-2008 2.OD|TOYOTA Copy - Complete Packing Kit  Corolla 2002-2008 2.OD|Delo Gold - Oi & Additives - Engine Oil 1Liter 15W-40|Aisin CLutch & Pressure - Clutch & Pressure Plate Set  Corolla 2002-2008 2.OD|Kabuli Used Genuine - Oil Pump  Corolla 2002-2008 2.OD|Kabuli Used Genuine - Sun Shade LH 1PC Corolla 2002-2008,ORDER_COMPLETED, Feb,NON_PREVENTIVE,110000,114232,4232,T,completed
10834,159,|Maintece & Tuning,,ORDER_COMPLETED, Feb,PREVENTIVE,750,1200,450,T,completed
10835,1576,|Maintece & Tuning|Catalytic Cleaning,|Zic - Gear Oil CVTF 1 Liter |Bossil - Silicone |Ct Taiwan - Gasket - Tappet Cover Packing Moco ,ORDER_COMPLETED, Feb,PREVENTIVE,7700,9125,1425,T,completed
10836,1380,|Maintece & Tuning,|Guard - Filters - Oil Filter cultus,CANCELLED, Feb,PREVENTIVE,1025,1475,450,F,cancelled
10837,6,|Parts Delivery,|Unbranded Local - Front Bumper Bolan|Unbranded China -  Show Grille 3PC Set Bolan |Unbranded China - Front Bumper Light Bolan,CANCELLED, Feb,PARTS_LOGISTICS,1276,1276,0,F,cancelled
10838,1577,|Basic Maintece,|Toyota Genuine - Engine Oil Petron Plus 3 liter10W-30|Leppon - Oil Filter Clipper,CANCELLED, Feb,PREVENTIVE,3644,3644,0,F,cancelled
10839,6,|Parts Delivery,|Toyota Genuine - Taillight Tundra 2007-2013,CANCELLED, Feb,PARTS_LOGISTICS,66000,66000,0,F,cancelled
10840,353,|Lathe Work,,ORDER_COMPLETED, Feb,NON_PREVENTIVE,32200,32200,0,T,completed
10841,1578,|Brake Service - 4 Tyre,,CANCELLED, Feb,PREVENTIVE,950,1500,550,T,cancelled
10842,1579,|Door Pins Dismantling/Reassembly,,CANCELLED, Feb,NON_PREVENTIVE,3000,3000,0,F,cancelled
10844,1581,|Basic Car Wash,,ORDER_COMPLETED, Feb,CAR_SPA,0,500,500,T,completed
10845,1582,|Maintece & Tuning|Basic Car Wash|Brake Service - 4 Tyre|Sensor Scanning/Error Resolution,,CANCELLED, Feb,PREVENTIVE,2700,3700,1000,T,cancelled
10846,94,|Parts Delivery,|Toyota Genuine - Trunk Lock Fortuner 2016-2021,CANCELLED, Feb,PARTS_LOGISTICS,21060,21060,0,F,cancelled
10847,1583,|Mechanical Diagnosis|Electrical Diagnosis|Body & Paint Inspection,,CANCELLED, Feb,DIAGNOSIS,500,750,250,T,cancelled
10848,363,|Valet,,ORDER_COMPLETED, Feb,VALET,0,500,500,T,completed
10849,639,|Parts Delivery,|AMSOIL - Engine Oil 5W30 Signature |AMSOIL - Engine Oil 0W20 Signature,ORDER_COMPLETED, Feb,PARTS_LOGISTICS,28262,33250,4988,T,completed
10850,1584,|Roof Paint,,CANCELLED, Feb,CAR_SPA,6000,6000,0,F,cancelled
10851,1585,|Mechanical Diagnosis|Electrical Diagnosis,,CANCELLED, Feb,DIAGNOSIS,0,500,500,T,cancelled
10852,639,|Parts Delivery,|AMSOIL - Engine Oil 0W20 Signature|AMSOIL - Engine Oil 5W30 Signature ,ORDER_COMPLETED, Feb,PARTS_LOGISTICS,20188,23750,3562,T,completed
10853,428,|Parts Delivery,|Unbranded China - Plug Wire Set Mehran Old ,CANCELLED, Feb,PARTS_LOGISTICS,1700,1700,0,T,cancelled
10854,2,|Valet,,CANCELLED, Feb,VALET,0,500,500,T,cancelled
